2026-03-14 17:30 | INFO | === Running evaluate ===
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_simple_ipa_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_base_ipa_pos_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_de_1frz_5b_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_pos_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_ipa_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_simple_pos_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_base_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_ipa_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_de_1frz_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_pos_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_pos_ipa_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_base_pos_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_simple_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_de_base_ipa_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_rich_de_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_simple_pos_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_rich_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_base_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_simple_ipa_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_simple_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_cn_1frz_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_pos_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_ipa_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_cn_1frz_5b_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_base_ipa_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_base_ipa_pos_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_ipa_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_pos_cn_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_cn_base_pos_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_ipa_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_ipa_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_base_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_base_ipa_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_pos_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_pos_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_simple_ipa_pos_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_simple_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_base_pos_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_base_ipa_pos_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_closed_rich_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_es_1frz_5b_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_simple_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_es_1frz_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_simple_pos_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_ipa_es_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file numeric_es_simple_ipa_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_open_xx_preds.csv on cn dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_open_xx_preds.csv on es dev set...
2026-03-14 17:30 | INFO | Evaluating pred file baseline_open_xx_preds.csv on de dev set...
2026-03-14 17:30 | INFO | Evaluation summary:

CLOSED TRACK
------------
                        model L1  rmse  pearson
       numeric_ipa_es_1frz_5b es 1.312    0.747
              numeric_es_base es 1.304    0.749
          numeric_es_base_pos es 1.326    0.738
            numeric_es_simple es 1.343    0.726
          numeric_ipa_es_1frz es 1.334    0.739
        numeric_es_simple_ipa es 1.390    0.703
    numeric_es_simple_ipa_pos es 1.325    0.730
        numeric_es_simple_pos es 1.355    0.727
baseline_closed_simple_pos_es es 1.408    0.694
          numeric_es_base_ipa es 1.324    0.744
baseline_closed_simple_ipa_es es 1.450    0.699
    baseline_closed_simple_es es 1.408    0.716
      numeric_es_base_ipa_pos es 1.299    0.747
       baseline_closed_ipa_es es 1.365    0.734
       baseline_closed_pos_es es 1.368    0.741
           baseline_closed_es es 1.357    0.748
               numeric_ipa_es es 1.318    0.731
      baseline_closed_rich_es es 1.334    0.743
           baseline_closed_de de 1.326    0.753
        numeric_de_simple_pos de 1.275    0.750
        numeric_de_simple_ipa de 1.300    0.738
            numeric_de_simple de 1.280    0.737
          numeric_de_base_pos de 1.255    0.750
      numeric_de_base_ipa_pos de 1.229    0.764
          numeric_de_base_ipa de 1.269    0.761
              numeric_de_base de 1.265    0.754
               numeric_ipa_de de 1.271    0.740
       numeric_ipa_de_1frz_5b de 1.254    0.774
       baseline_closed_pos_de de 1.298    0.760
baseline_closed_simple_pos_de de 1.371    0.710
   baseline_closed_pos_ipa_de de 1.341    0.742
          numeric_ipa_de_1frz de 1.228    0.770
baseline_closed_simple_ipa_de de 1.341    0.733
      baseline_closed_rich_de de 1.311    0.754
    baseline_closed_simple_de de 1.358    0.721
       baseline_closed_ipa_de de 1.400    0.747
               numeric_ipa_cn cn 1.177    0.727
       numeric_ipa_cn_1frz_5b cn 1.090    0.774
          numeric_ipa_cn_1frz cn 1.116    0.751
           baseline_closed_cn cn 1.175    0.736
        numeric_cn_simple_ipa cn 1.093    0.763
          numeric_cn_base_pos cn 1.105    0.774
      numeric_cn_base_ipa_pos cn 1.088    0.778
          numeric_cn_base_ipa cn 1.103    0.764
              numeric_cn_base cn 1.137    0.750
baseline_closed_simple_pos_cn cn 1.177    0.748
baseline_closed_simple_ipa_cn cn 1.125    0.753
    baseline_closed_simple_cn cn 1.174    0.745
      baseline_closed_rich_cn cn 1.181    0.739
       baseline_closed_pos_cn cn 1.189    0.720
       baseline_closed_ipa_cn cn 1.181    0.735
        numeric_cn_simple_pos cn 1.132    0.744
            numeric_cn_simple cn 1.170    0.741

OPEN TRACK
----------
           model L1  rmse  pearson
baseline_open_xx es 1.206    0.787
baseline_open_xx de 1.149    0.800
baseline_open_xx cn 1.021    0.804
2026-03-14 17:30 | INFO | Saved evaluation results to results/results_summary_dev.csv
