"model_name","track","pretrained_model","L1","component_order","batch_size","learning_rate","weight_decay","warmup_ratio","epochs"
"baseline_open_xx","open","xlm-roberta-base","xx","L1_source_word; L1_context; en_target_clue; en_target_word","32","0.00003","0.1","0.1","5"
"baseline_closed_cn","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word","32","0.00003","0.1","0.1","5"
"baseline_closed_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word","32","0.00003","0","0.1","5"
"baseline_closed_es","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_cn","closed","xlm-roberta-base","cn","L1_source_word; en_target_word","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_de","closed","xlm-roberta-base","de","L1_source_word; en_target_word","32","0.00003","0","0.1","5"
"baseline_closed_simple_es","closed","xlm-roberta-base","es","L1_source_word; en_target_word","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_pos_cn","closed","xlm-roberta-base","cn","L1_source_word; en_target_word; en_target_pos","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_pos_de","closed","xlm-roberta-base","de","L1_source_word; en_target_word; en_target_pos","32","0.00003","0","0.1","5"
"baseline_closed_simple_pos_es","closed","xlm-roberta-base","es","L1_source_word; en_target_word; en_target_pos","32","0.00003","0.1","0.1","5"
"baseline_closed_pos_cn","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; en_target_pos","32","0.00003","0.1","0.1","5"
"baseline_closed_pos_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; en_target_pos","32","0.00003","0","0.1","5"
"baseline_closed_pos_es","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; en_target_pos","32","0.00003","0.1","0.1","5"
"baseline_closed_ipa_cn","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","32","0.00003","0.1","0.1","5"
"baseline_closed_ipa_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","32","0.00003","0","0.1","5"
"baseline_closed_ipa_es","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","32","0.00003","0.1","0.1","5"
"baseline_closed_pos_ipa_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; en_target_pos; ipa_en; ipa_l1","32","0.00003","0","0.1","5"
"baseline_closed_simple_ipa_cn","closed","xlm-roberta-base","cn","L1_source_word; en_target_word; ipa_en; ipa_l1","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_ipa_de","closed","xlm-roberta-base","de","L1_source_word; en_target_word; ipa_en; ipa_l1","32","0.00003","0.1","0.1","5"
"baseline_closed_simple_ipa_es","closed","xlm-roberta-base","es","L1_source_word; en_target_word; ipa_en; ipa_l1","32","0.00003","0.1","0.1","5"
"baseline_closed_rich_cn","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1; freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.00003","0.1","0.1","5"
"baseline_closed_rich_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1; freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.00003","0.1","0.1","5"
"baseline_closed_rich_es","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1; freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.00003","0.1","0.1","5"
