"model_name","track","pretrained_model","L1","component_order","numeric_features","batch_size","ffn_learning_rate","encoder_learning_rate","weight_decay","warmup_ratio","epochs","freeze_base_epochs"
"numeric_ipa_cn","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.0005","0.00002","0.1","0.1","5","2"
"numeric_ipa_de","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.0005","0.00002","0.1","0.1","5","2"
"numeric_ipa_es","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.0005","0.00002","0.1","0.1","5","2"
"numeric_ipa_cn_1frz","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00002","0.1","0.1","6","1"
"numeric_ipa_de_1frz","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00002","0.1","0.1","6","1"
"numeric_ipa_es_1frz","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00002","0.1","0.1","6","1"
"numeric_ipa_cn_1frz_5b","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_ipa_de_1frz_5b","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_ipa_es_1frz_5b","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_cn_simple","closed","xlm-roberta-base","cn","L1_source_word; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_de_simple","closed","xlm-roberta-base","de","L1_source_word; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_es_simple","closed","xlm-roberta-base","es","L1_source_word; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_cn_simple_ipa","closed","xlm-roberta-base","cn","L1_source_word; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_de_simple_ipa","closed","xlm-roberta-base","de","L1_source_word; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_es_simple_ipa","closed","xlm-roberta-base","es","L1_source_word; en_target_word; ipa_en; ipa_l1","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_cn_simple_pos","closed","xlm-roberta-base","cn","L1_source_word; en_target_word; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_de_simple_pos","closed","xlm-roberta-base","de","L1_source_word; en_target_word; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_es_simple_pos","closed","xlm-roberta-base","es","L1_source_word; en_target_word; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_cn_simple_ipa_pos","closed","xlm-roberta-base","cn","L1_source_word; en_target_word; ipa_en; ipa_l1; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_de_simple_ipa_pos","closed","xlm-roberta-base","de","L1_source_word; en_target_word; ipa_en; ipa_l1; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_es_simple_ipa_pos","closed","xlm-roberta-base","es","L1_source_word; en_target_word; ipa_en; ipa_l1; en_target_pos","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_cn_base","closed","xlm-roberta-base","cn","L1_source_word; L1_context; en_target_clue; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_de_base","closed","xlm-roberta-base","de","L1_source_word; L1_context; en_target_clue; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
"numeric_es_base","closed","xlm-roberta-base","es","L1_source_word; L1_context; en_target_clue; en_target_word","freq; morpheme_count; char_length; syllables; edit_distance; phon_edit_distance","32","0.001","0.00003","0.1","0.1","5","1"
